Column1,Column2,Correlation,P_value,Significance
MEL_34,popularity,0.09499240950397671,3.813796957789148e-99,Significant
MEL_73,popularity,0.09484578070728793,7.631187660987143e-99,Significant
MEL_25,popularity,0.09465120122452239,1.912530626797631e-98,Significant
MEL_77,popularity,0.09455915719521951,2.951684821173292e-98,Significant
MEL_48,popularity,0.09443731852267089,5.239028323111034e-98,Significant
MEL_79,popularity,0.09431398700958114,9.357352856011345e-98,Significant
spectral_rollOff_min,popularity,-0.09424635108466312,1.2857497423579612e-97,Significant
MEL_29,popularity,0.0942394811859334,1.3279082919645708e-97,Significant
MEL_74,popularity,0.0934096671384074,6.427164384279187e-96,Significant
MEL_39,popularity,0.09308453761769238,2.9110193749876578e-95,Significant
MEL_28,popularity,0.09250197757413985,4.3023286426771754e-94,Significant
spectral_centroid,popularity,0.09190877498337693,6.5628111615158275e-93,Significant
MEL_36,popularity,0.09186089533016246,8.170890637462485e-93,Significant
MFCC_26,popularity,0.09146702938490257,4.9354480598898446e-92,Significant
MEL_24,popularity,0.09134593211863512,8.566160467101358e-92,Significant
MFCC_21,popularity,0.09114005472952913,2.183506488817172e-91,Significant
MEL_55,popularity,0.08989020013077102,6.1129779948279206e-89,Significant
MEL_38,popularity,0.0874216819372904,3.303809423535981e-84,Significant
MEL_41,popularity,0.08721542958267656,8.098868507370611e-84,Significant
MEL_81,popularity,0.08697567460057595,2.2904446125518586e-83,Significant
MEL_37,popularity,0.08616623049270376,7.498179500888622e-82,Significant
MFCC_12,popularity,0.08569530669596512,5.620863635870259e-81,Significant
MEL_72,popularity,0.08451519797011761,8.334256805359627e-79,Significant
vocabulary_wealth,popularity,0.08418302665916495,3.361164137703225e-78,Significant
MEL_50,popularity,0.08406389974023003,5.5347596330373295e-78,Significant
MEL_64,popularity,0.08405272318744592,5.799696529218634e-78,Significant
MEL_54,popularity,0.08328683608760586,1.407497323396465e-76,Significant
MEL_71,popularity,0.08293373916621549,6.063013313193372e-76,Significant
MEL_66,popularity,0.08170389027737274,9.344782875742285e-74,Significant
MEL_32,popularity,0.08149324298783509,2.1978780552633143e-73,Significant
MEL_65,popularity,0.08058100331650062,8.697778408069706e-72,Significant
MEL_62,popularity,0.08022425663900078,3.6238906315906696e-71,Significant
MEL_56,popularity,0.08009472501769446,6.074658884923155e-71,Significant
MEL_67,popularity,0.08000301923942818,8.752543291680375e-71,Significant
time_signature,popularity,0.07862992921227241,1.973031973230642e-68,Significant
MEL_118,popularity,0.07723576010102116,4.388665134284911e-66,Significant
MEL_70,popularity,0.07665747679502172,4.013587017001952e-65,Significant
MFCC_28,popularity,0.07665506865890435,4.050607974750079e-65,Significant
MEL_69,popularity,0.07595067673135397,5.867989171666439e-64,Significant
Spectral_contrast_5,popularity,-0.07527509666603625,7.444835941468107e-63,Significant
MEL_60,popularity,0.07496646864170102,2.3583884607478476e-62,Significant
mean_syllables_word,popularity,0.07491076287116855,2.9025510750542407e-62,Significant
MEL_61,popularity,0.072701630152641,9.642983650833787e-59,Significant
MEL_68,popularity,0.07199389487694623,1.2302650928770643e-57,Significant
MEL_63,popularity,0.07047766084865015,2.645474543588769e-55,Significant
MEL_57,popularity,0.06855887957939484,2.0089418314561855e-52,Significant
n_sentences,popularity,0.06754433776877973,6.220473976860547e-51,Significant
MEL_59,popularity,0.06584032380983894,1.7693645461862194e-48,Significant
MEL_58,popularity,0.06528755942060953,1.0725114898467472e-47,Significant
MFCC_23,popularity,0.06479438488794441,5.285134704275696e-47,Significant
MFCC_24,popularity,0.06282493373725026,2.7340937492492724e-44,Significant
MFCC_3,popularity,0.062339337786861015,1.2390246246459658e-43,Significant
ZCR,popularity,0.06114617231864739,4.83090903728676e-42,Significant
MFCC_39,popularity,0.06069745948663807,1.881064891693336e-41,Significant
n_words,popularity,-0.060232940890665804,7.603418233011223e-41,Significant
Spectral_contrast_1,popularity,0.0597155617774505,3.5577656887912373e-40,Significant
Spectral_contrast_4,popularity,-0.05567744153487606,3.8375864885494166e-35,Significant
Chroma_12,popularity,-0.0541841951213731,2.2722737007175456e-33,Significant
MFCC_34,popularity,0.05161714104740779,1.9573051820109666e-30,Significant
MFCC_41,popularity,0.05128693994327168,4.56000318529673e-30,Significant
Tonnetz_1,popularity,-0.05108729147567734,7.584308675239314e-30,Significant
MFCC_45,popularity,0.04979495320883967,1.947642824926857e-28,Significant
Chroma_3,popularity,-0.04741537183055409,6.187951742273708e-26,Significant
MFCC_22,popularity,0.047176871309779635,1.085546542166521e-25,Significant
MEL_122,popularity,0.04205559233273234,9.646365169938923e-21,Significant
MEL_123,popularity,0.04194341675638828,1.2204057483250703e-20,Significant
MEL_121,popularity,0.041896095927704574,1.3474464551572863e-20,Significant
MEL_124,popularity,0.04165283369941407,2.2379319083653854e-20,Significant
MEL_126,popularity,0.041502172945681655,3.059685353930872e-20,Significant
MEL_125,popularity,0.04129855779204147,4.661019540241651e-20,Significant
MEL_127,popularity,0.04122388435059124,5.436271492423552e-20,Significant
MEL_128,popularity,0.04115950567070407,6.206032610169787e-20,Significant
